Date,Value
2016.12.03,1110.66897633
2016.12.04,1133.84201867
2016.12.05,1157.01506100
2016.12.06,1278.46883900
2016.12.07,1458.86947500
2016.12.08,1645.06767200
2016.12.09,1798.89179100
2016.12.10,1826.80017900
2016.12.11,1854.70856700
2016.12.12,1882.61695500
2016.12.13,1970.73888500
2016.12.14,1949.17944000
2016.12.15,1942.05021800
2016.12.16,1950.24448200
2016.12.17,1962.89610667
2016.12.18,1975.54773133
2016.12.19,1988.19935600
2016.12.20,2058.60977600
2016.12.21,2104.31763600
2016.12.22,2113.52626800
2016.12.23,2143.58201700
2016.12.24,2157.46445600
2016.12.25,2171.34689500
2016.12.26,2185.22933400
2016.12.27,2199.11177300
2016.12.28,2171.44415500
2016.12.29,2170.08112100
2016.12.30,2148.86532100
2016.12.31,2162.49436225
2017.01.01,2176.12340350
2017.01.02,2189.75244475
2017.01.03,2203.38148600
2017.01.04,2350.97589900
2017.01.05,2454.66424300
2017.01.06,2528.24445600
2017.01.07,2532.36774233
2017.01.08,2536.49102867
2017.01.09,2540.61431500
2017.01.10,2585.98747400
2017.01.11,2672.75158700
2017.01.12,2708.87114600
2017.01.13,2768.45901300
2017.01.14,2775.19784575
2017.01.15,2781.93667850
2017.01.16,2788.67551125
2017.01.17,2795.41434400
2017.01.18,2821.18408000
2017.01.19,2761.56128500
2017.01.20,2743.12598800
2017.01.21,2739.51671833
2017.01.22,2735.90744867
2017.01.23,2732.29817900
2017.01.24,2786.47891200
2017.01.25,2867.37104400
2017.01.26,2921.54696100
2017.01.27,2937.40963600
2017.01.28,2918.68481567
2017.01.29,2899.95999533
2017.01.30,2881.23517500
2017.01.31,2863.54983500
2017.02.01,2834.21111900
2017.02.02,2815.40546200
2017.02.03,2876.94959800
2017.02.04,2880.04476100
2017.02.05,2883.13992400
2017.02.06,2886.23508700
2017.02.07,2872.84300400
2017.02.08,2870.87855800
2017.02.09,2906.94456300
2017.02.10,2992.59627600
2017.02.11,3023.41935333
2017.02.12,3054.24243067
2017.02.13,3085.06550800
2017.02.14,3161.20137500
2017.02.15,3241.34153300
2017.02.16,3277.60466200
2017.02.17,3287.07161300
2017.02.18,3302.13633425
2017.02.19,3317.20105550
2017.02.20,3332.26577675
2017.02.21,3347.33049800
2017.02.22,3370.26519200
2017.02.23,3389.52303000
2017.02.24,3399.59086600
2017.02.25,3409.12754800
2017.02.26,3418.66423000
2017.02.27,3428.20091200
2017.02.28,3398.87149600
2017.03.01,3414.95048800
2017.03.02,3346.97327400
2017.03.03,3282.46789000
2017.03.04,3240.64640900
2017.03.05,3198.82492800
2017.03.06,3157.00344700
2017.03.07,2980.44633000
2017.03.08,2751.03776500
2017.03.09,2486.38825200
2017.03.10,2303.73097700
2017.03.11,2259.35076900
2017.03.12,2214.97056100
2017.03.13,2170.59035300
2017.03.14,2002.15216700
2017.03.15,1965.37675700
2017.03.16,1946.55689800
2017.03.17,1955.28313400
2017.03.18,1947.84463933
2017.03.19,1940.40614467
2017.03.20,1932.96765000
2017.03.21,1821.37307300
2017.03.22,1731.60284400
2017.03.23,1696.49128400
2017.03.24,1668.88844400
2017.03.25,1660.14015400
2017.03.26,1651.39186400
2017.03.27,1642.64357400
2017.03.28,1689.04099200
2017.03.29,1770.81557900
2017.03.30,1869.22877300
2017.03.31,1977.12591100
2017.04.01,2000.48138500
2017.04.02,2023.83685900
2017.04.03,2047.19233300
2017.04.04,2103.71316300
2017.04.05,2099.21990700
2017.04.06,2166.53207300
2017.04.07,2210.25131500
2017.04.08,2237.94421333
2017.04.09,2265.63711167
2017.04.10,2293.33001000
2017.04.11,2393.49564500
2017.04.12,2417.56978400
2017.04.13,2369.36532400
2017.04.14,2375.58741400
2017.04.15,2381.80950400
2017.04.16,2388.03159400
2017.04.17,2394.25368400
2017.04.18,2402.51196300
2017.04.19,2392.26023300
2017.04.20,2440.23370200
2017.04.21,2462.09984900
2017.04.22,2486.46153467
2017.04.23,2510.82322033
2017.04.24,2535.18490600
2017.04.25,2642.39670500
2017.04.26,2748.20081000
2017.04.27,2829.87231500
2017.04.28,2856.30209100
2017.04.29,2867.74074000
2017.04.30,2879.17938900
2017.05.01,2890.61803800
2017.05.02,2912.30508300
2017.05.03,2893.33598100
2017.05.04,2826.10071900
2017.05.05,2825.98406700
2017.05.06,2818.35751400
2017.05.07,2810.73096100
2017.05.08,2803.10440800
2017.05.09,2754.77677800
2017.05.10,2749.88277100
2017.05.11,2702.29898100
2017.05.12,2634.65334500
2017.05.13,2637.34991667
2017.05.14,2640.04648833
2017.05.15,2642.74306000
2017.05.16,2626.99605100
2017.05.17,2516.99737800
2017.05.18,2418.61352600
2017.05.19,2401.75226400
2017.05.20,2412.19388433
2017.05.21,2422.63550467
2017.05.22,2433.07712500
